id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
1015000,1590000,HOUSE,HOUSE,Wallonia,Liège,Liège,4032,50.6138731,5.6160939,1918.0,177,325.0,2,3,0,0,0,1,29,1,192,0,0,TO_RENOVATE,340.0,D,GAS,1,808.0
37563000,2590000,HOUSE,HOUSE,Flanders,East Flanders,Gent,9000,51.0664994,3.6918561,1956.0,139,97.0,0,3,0,0,0,0,0,0,0,0,1,TO_RENOVATE,474.0,E,GAS,1,495.0
61815000,5650000,HOUSE,EXCEPTIONAL_PROPERTY,Wallonia,Luxembourg,Virton,6760,49.5631526,5.5193958,2003.0,280,1000.0,4,4,0,0,0,1,0,0,0,0,0,GOOD,196.0,C,MISSING,0,1507.0
57516000,4150000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8370,51.3032255,3.1373476,1979.0,206,212.0,2,3,0,0,0,0,0,1,68,0,0,GOOD,146.0,B,GAS,1,907.0
68853000,6400000,HOUSE,VILLA,Flanders,West Flanders,Veurne,8670,51.1040725,2.6441857,1930.0,304,2314.0,4,4,0,0,0,1,0,0,0,0,1,TO_BE_DONE_UP,418.0,E,GAS,0,1572.0
8058000,4950000,HOUSE,HOUSE,Flanders,Antwerp,Mechelen,2223,51.0285324,4.7113911,1965.0,207,1276.0,4,3,0,0,0,1,0,1,1276,0,1,MISSING,211.0,C,FUELOIL,1,881.0
68310000,2790000,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3270,50.9745739,4.9824784,1993.0,228,453.0,0,3,0,0,0,1,0,0,0,0,0,MISSING,258.0,C,MISSING,0,937.0
47580000,1950000,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9220,51.0962405,4.1252924,1957.0,104,230.0,2,2,0,0,0,0,0,0,0,0,0,TO_BE_DONE_UP,452.0,E,GAS,1,307.0
68903000,2850000,HOUSE,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1651,50.7611797,4.2754889,1956.0,140,116.0,2,3,0,0,0,1,0,0,0,0,1,TO_BE_DONE_UP,445.0,E,GAS,0,575.0
1914000,3200000,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9280,51.004432,4.1294795,1979.0,160,322.0,2,3,0,0,1,1,0,1,0,0,0,TO_BE_DONE_UP,345.0,D,GAS,1,1253.0
45389000,2400000,HOUSE,HOUSE,Wallonia,Liège,Liège,4020,50.6345318,5.626797,1978.0,0,220.0,2,2,0,0,0,0,0,0,0,0,1,GOOD,411.0,E,GAS,1,813.0
30790000,3150000,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9620,50.8711822,3.8047348,1962.0,149,513.0,4,3,0,0,0,0,0,0,0,0,0,TO_RENOVATE,362.0,D,MISSING,1,922.0
2402000,6450000,HOUSE,VILLA,Flanders,Flemish Brabant,Halle-Vilvoorde,1745,50.9660232,4.1729822,1987.0,350,1411.0,4,4,0,0,0,1,0,0,0,0,0,AS_NEW,165.0,B,MISSING,1,2315.0
59572000,4590000,HOUSE,VILLA,Flanders,Antwerp,Turnhout,2400,51.1970029,5.0967872,1997.0,336,581.0,4,4,0,0,0,0,0,0,0,0,0,AS_NEW,282.0,C,FUELOIL,1,1539.0
58005000,4750000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8300,51.3391521,3.2880763,1930.0,144,108.0,2,2,0,0,0,0,0,0,0,0,0,TO_RENOVATE,455.0,E,GAS,1,619.0
35835000,3500000,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9400,50.8616916,3.972094,2008.0,164,280.0,3,3,0,0,0,1,0,0,0,0,1,GOOD,307.0,D,ELECTRIC,1,549.0
10577000,5490000,HOUSE,HOUSE,Flanders,East Flanders,Gent,9041,51.1007082,3.7809364,1989.0,268,881.0,4,3,0,0,0,1,0,0,0,0,0,GOOD,392.0,D,ELECTRIC,1,1535.0
14940000,3390000,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9255,51.0366049,4.1930703,1918.0,202,170.0,3,3,0,0,0,1,0,0,0,0,0,MISSING,297.0,C,GAS,1,483.0
12367000,5190000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2100,51.2017905,4.4669624,1919.0,175,120.0,0,4,0,0,0,1,30,0,0,0,0,AS_NEW,175.0,B,GAS,1,756.0
64190000,4250000,HOUSE,MANSION,Flanders,Antwerp,Antwerp,2547,51.1272917,4.4828023,1926.0,175,770.0,3,3,0,0,0,1,0,0,0,0,1,TO_RENOVATE,788.0,F,GAS,0,745.0
38261000,1950000,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9300,50.9334617,4.0391661,1918.0,125,130.0,2,2,0,0,0,1,0,0,0,0,1,TO_RENOVATE,477.0,E,GAS,1,446.0
49126000,3950000,HOUSE,BUNGALOW,Wallonia,Liège,Liège,4600,50.7144376,5.7034554,1979.0,105,802.0,4,3,0,0,0,1,0,0,0,0,1,MISSING,163.0,B,FUELOIL,1,961.0
65083000,1950000,HOUSE,HOUSE,Wallonia,Luxembourg,Neufchâteau,6870,50.0233341,5.3670237,1939.0,130,620.0,3,3,0,0,0,1,0,0,0,0,0,TO_RENOVATE,656.0,G,FUELOIL,0,875.0
20168000,3600000,HOUSE,HOUSE,Flanders,East Flanders,Dendermonde,9280,50.9976415,4.1483763,1996.0,0,459.0,3,3,0,0,0,1,0,0,0,0,0,GOOD,250.0,C,GAS,1,681.0
70743000,2750000,HOUSE,HOUSE,Flanders,Antwerp,Mechelen,2811,51.023454,4.3884674,1918.0,264,344.0,4,3,0,0,1,1,0,0,0,0,0,TO_RENOVATE,292.0,C,FUELOIL,1,319.0
52806000,2395000,HOUSE,TOWN_HOUSE,Wallonia,Liège,Huy,4500,50.5261219,5.2336445,1956.0,180,155.0,2,2,0,0,1,1,20,1,80,0,1,GOOD,286.0,D,MISSING,1,1199.0
52641000,5990000,HOUSE,VILLA,Flanders,Limburg,Hasselt,3980,51.0688804,5.0988516,2004.0,238,986.0,4,5,0,0,1,0,0,1,0,0,0,MISSING,236.0,C,GAS,1,1482.0
